Identifier Type,Identifier Value,Amortized Cost,Market Value,Accounting Intent,Type of Hedge,Hedged Risk,Hedge Interest Rate,Hedge Percentage,Hedge Horizon,Hedged Cash Flow,Sidedness,Hedging Instrument at Fair Value,Effective Portion of Cumulative Gains and Losses,ASU 2017-12 Hedge Designations
CUSIP,ID782515,39814044.73,30242406.79,HTM,1,7,4,0.6005,2031-05-23,4,1,-2704784,36567980,3
INTERNAL,ID887711,42603747.81,7343102.32,EQ,2,11,2,0.0032,2027-10-16,4,2,-20735914,10103762,3
CUSIP,ID882939,28002339.19,8971567.42,EQ,2,3,1,0.7985,2028-10-28,6,2,-31731603,35851156,3
ISIN,ID124466,14305599.04,23062997.25,HTM,1,9,3,0.0307,2031-11-13,4,1,16521743,-13685603,1
CUSIP,ID393189,49884881.18,35712214.11,EQ,2,11,1,0.8358,2030-11-17,6,1,-44594218,-1407560,3
ISIN,ID735506,43383306.66,7244738.6,AFS,1,5,1,0.7271,2026-09-28,1,2,-27095566,36228648,3
SEDOL,ID880392,28337111.27,9197259.58,HTM,1,5,4,0.6278,2031-08-24,1,2,-34208799,-33654406,3
ISIN,ID846383,3785587.49,11256102.13,EQ,2,4,3,0.0745,2033-04-14,4,1,-33170919,37456475,3
INTERNAL,ID548290,39804315.05,35244428.92,EQ,2,1,1,0.9888,2035-02-19,4,1,36115963,-13000396,2
SEDOL,ID766070,42208652.46,26890537.81,AFS,1,8,1,0.6598,2030-06-14,5,2,-30282828,37537561,1
INTERNAL,ID813408,5361969.26,5709774.92,AFS,2,11,5,0.251,2031-10-23,5,1,29479940,39887492,2
CUSIP,ID791723,9445161.84,26687072.43,EQ,2,11,3,0.5229,2028-10-24,3,1,-33653950,37093031,3
INTERNAL,ID656855,27423865.97,40457590.03,HTM,2,5,2,0.5725,2026-02-17,3,1,19997194,-11794161,3
ISIN,ID760052,12513333.04,26749568.22,AFS,1,1,4,0.4356,2034-08-27,3,2,33936565,-37585217,2
ISIN,ID377852,26692651.21,14425924.33,AFS,1,8,2,0.4701,2025-08-21,3,1,-12804910,-35537743,3
INTERNAL,ID915068,5689424.67,6365218.53,AFS,2,8,2,0.9469,2034-01-31,3,2,-26857906,-25329916,1
SEDOL,ID176016,34546011.74,26817119.33,HTM,1,3,5,0.1943,2034-11-02,5,2,12612157,793970,2
SEDOL,ID802557,1935799.73,33147709.47,AFS,2,11,3,0.8716,2026-08-17,1,2,26946414,-17231829,2
INTERNAL,ID627154,13333043.96,48336029.96,AFS,2,11,3,0.2068,2030-08-07,2,2,-12991610,7037084,1
CUSIP,ID111873,17135149.24,49295354.7,AFS,1,3,1,0.5366,2027-11-01,1,1,38986399,-17094423,3
ISIN,ID561714,23976297.03,23647512.77,EQ,1,3,4,0.6488,2030-09-04,3,2,38831979,-35344961,3
CUSIP,ID831939,42489292.33,48968828.31,EQ,1,7,3,0.6075,2026-02-23,1,2,-20973426,-3688672,1
CUSIP,ID977036,14307491.82,27223700.71,AFS,2,9,2,0.1444,2030-04-29,6,2,45864582,22946055,3
ISIN,ID594129,41351727.71,23357531.21,AFS,1,4,2,0.6977,2028-08-14,1,2,9787201,-913398,1
SEDOL,ID853907,13069099.3,39597536.28,EQ,1,2,3,0.0735,2028-07-24,4,2,-20954506,3538221,3
CUSIP,ID588914,21550490.12,7639470.68,EQ,1,9,2,0.5872,2028-12-24,2,2,27052030,-25456218,1
ISIN,ID971053,40126034.4,1287824.19,AFS,1,5,2,0.5147,2031-11-07,3,1,32214880,22488714,2
ISIN,ID110244,37974661.76,9002467.49,AFS,2,7,3,0.1777,2028-10-05,5,1,-47222667,11665739,2
SEDOL,ID867020,27352764.92,13238639.31,AFS,1,4,3,0.6006,2032-03-18,5,2,31911892,-4568260,3
ISIN,ID199628,18826524.17,20035024.67,AFS,1,1,1,0.9769,2025-05-01,3,1,49606846,31946052,2
CUSIP,ID566791,32744985.94,12383849.84,EQ,1,8,2,0.9956,2034-11-26,2,2,-4943815,22304934,2
CUSIP,ID423818,3358652.49,32576613.04,EQ,2,4,1,0.4051,2025-05-27,4,1,-34262773,-15570702,3
SEDOL,ID649715,15161387.32,23062656.6,HTM,1,4,3,0.6403,2031-02-17,5,2,25731216,-48029743,2
INTERNAL,ID856260,35776311.03,21717674.22,AFS,1,2,3,0.1833,2026-11-09,3,2,-26939289,47856802,3
CUSIP,ID609511,6438815.94,34404592.15,HTM,1,2,5,0.9338,2025-12-17,1,2,11473789,-49007220,2
ISIN,ID880913,36658465.08,26257857.01,AFS,2,11,1,0.8546,2026-02-28,4,2,4913352,8453988,1
INTERNAL,ID915842,45569873.17,35746246.76,AFS,2,9,2,0.9334,2029-12-13,5,2,35837763,9160075,3
